author,avgrating,awards,five_stars,four_stars,genre,numpages,one_stars,origpubdate,pubyear,pubdate,publisher,three_stars,title,totalratings,totalreviews,two_stars
V.S. Ramachandran,4.24,,6890,4687,Science,352,215,1998,1998,August 18th 1999,William Morrow Paperbacks,1936,Phantoms in the Brain: Probing the Mysteries of the Human Mind,14153,552,425
Connie Willis,4.13,,11312,10206,Science Fiction,493,415,1998,1998,December 1st 1998,Bantam Books,4299,To Say Nothing of the Dog,27276,3196,1044
Antony Beevor,4.29,"Hawthornden Prize (1999),Wolfson History Prize (1999),Samuel Johnson Prize for Non-Fiction (1999)",10566,8512,History,494,166,1998,1998,May 1st 1999,Penguin Books,2714,"Stalingrad: The Fateful Siege, 1942–1943",22360,730,402
Sidney Sheldon,3.94,,12571,14283,Fiction,384,485,1998,1998,Aug-99,Vision,9441,Tell Me Your Dreams,38880,1441,2100
Ian McEwan,3.41,,4572,12579,Fiction,193,1095,1998,1998,November 2nd 1999,Anchor,13975,Amsterdam,36690,2744,4469
Roberto Bolaño,4.1,"Premio Herralde de Novela (1998),Premio Internacional de Novela Rómulo Gallegos (1999),BTBA Best Translated Book Award Nominee for Fiction shortlist (2008)",11555,8057,Fiction,577,749,1998,1998,April 3rd 2007,"Farrar, Straus and Giroux",3698,The Savage Detectives,25578,2734,1519
Terry Pratchett,3.99,,13484,15577,Fiction,416,224,1998,1998,February 1st 2006,Corgi,9737,The Last Continent,40690,877,1668
Frank Miller,3.93,,13926,13670,Sequential Art,88,920,1998,1998,Aug-99,Dark Horse Books,9121,300,40023,785,2386
Christopher Pike,3.82,,12683,7561,Fantasy,594,2039,1998,1998,August 4th 2009,Simon Pulse,6409,"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice",31580,1622,2888
Sergei Lukyanenko,3.97,,11646,13825,Fantasy,455,566,1998,1998,July 26th 2006,Miramax Books / Hyperion,7118,Night Watch,35020,1959,1865
Terry Pratchett,4.13,,16938,17582,Fiction,296,126,1998,1998,September 8th 1999,Harper Voyager,8557,Carpe Jugulum,44253,1026,1050
John Irving,3.75,,11888,20619,Fiction,576,923,1998,1998,June 1st 2004,Ballantine Books,14983,A Widow for One Year,52064,2385,3651
Patricia Cornwell,4.02,,18228,20324,Mystery,440,435,1998,1998,2000,Time Warner,12276,Point of Origin,53032,585,1769
Hunter S. Thompson,3.83,,11676,18273,Fiction,224,441,1998,1998,Nov-99,Scribner / Simon & Schuster,12372,The Rum Diary,45537,1894,2775
Adam Hochschild,4.15,"Mark Lynton History Prize (1999),California Book Award for Nonfiction (Gold) (1998),Lionel Gelber Prize (1999),National Book Critics Circle Award Nominee for General Nonfiction (1998),Duff Cooper Prize (1999)",12499,11170,History,306,568,1998,1998,September 3rd 1999,Mariner Books,4318,King Leopold's Ghost,29585,1950,1030
Orhan Pamuk,3.83,"Magnesia Litera for Translation (Litera za překladovou knihu) (2008),Prix du Meilleur Livre Étranger for Roman (2002),Premio Grinzane Cavour for Narrativa Straniera (2002),International DUBLIN Literary Award (2003),UBL Literary Award for Urdu Translation (2015)",10821,13402,Fiction,417,1096,1998,1998,August 27th 2002,Vintage,8082,My Name is Red,36144,3275,2743
Laurell K. Hamilton,4.07,,23784,19924,Paranormal,392,613,1998,1998,September 24th 2002,Berkley Books,12401,Burnt Offerings,59411,943,2689
Maeve Binchy,3.89,,18857,25606,Womens Fiction,648,804,1998,1998,July 18th 2000,Dell,17139,Tara Road,65772,1850,3366
Bill Bryson,3.89,,14336,20816,Humor,304,615,1998,1998,June 28th 2000,Broadway Books,13045,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,51233,2490,2421
Anna Quindlen,3.87,,19635,28719,Fiction,288,815,1998,1998,August 25th 2010,Delta Publishing,19150,Black and Blue,72102,1504,3783
Anita Shreve,3.51,,12489,27755,Fiction,304,1970,1998,1998,March 30th 1999,Back Bay Books,28737,The Pilot's Wife,79469,4055,8518
Judy Blume,3.83,,23800,27918,Fiction,416,1400,1998,1998,July 25th 2006,Dell,21995,Summer Sisters,80673,3578,5560
Nancy E. Turner,4.34,,29845,19693,Historical,384,677,1998,1998,April 1st 2008,Harper Perennial,5821,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901",57237,9638,1201
Lee Strobel,4.11,,34884,23876,Religion,367,2573,1998,1998,August 30th 1998,Zondervan,12005,The Case for Christ,76848,1570,3510
Isabel Allende,3.89,Premio de traducción literaria Valle Inclán Nominee for Margaret Sayers Peden (2000),28153,40973,Historical,432,1261,1998,1998,May 2nd 2006,Harper Perennial,25136,Daughter of Fortune,100624,3345,5101
Janet Evanovich,4.17,,46193,46004,Mystery,313,317,1998,1998,June 15th 1999,St. Martin's Paperbacks,21554,Four to Score,116034,2639,1966
Michael Cunningham,3.92,"Pulitzer Prize for Fiction (1999),Stonewall Book Award for Literature (1999),PEN/Faulkner Award for Fiction (1999),Ferro-Grumley Award for Gay Fiction (1999),National Book Critics Circle Award Nominee for Fiction (1998)",37838,40237,Fiction,230,2651,1998,1998,Oct-02,Picador USA,24563,The Hours,112454,4325,7165
Jim Fergus,3.88,,32146,34984,Historical,434,2911,1998,1998,February 15th 1999,St. Martin's Griffin,21340,One Thousand White Women: The Journals of May Dodd,98194,7628,6813
Dalai Lama XIV,4.15,,31049,24694,Nonfiction,336,1015,1998,1998,October 26th 1998,Riverhead Hardcover,12292,The Art of Happiness,71482,1971,2432
Simon Winchester,3.84,"Audie Award for Nonfiction, Abridged (1999),National Book Critics Circle Award Nominee for General Nonfiction (1998)",22928,31509,History,242,2287,1998,1998,2005,Harper Perennial,19986,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",81445,4938,4735
Paulo Coelho,3.69,,37670,47060,Novels,210,5594,1998,1998,June 1st 2006,Harper Perennial,37611,Veronika Decides to Die,141440,6541,13505
Alexander McCall Smith,3.76,,55187,70394,Mystery,235,6677,1998,1998,February 6th 2003,Anchor Books,51819,The No. 1 Ladies' Detective Agency,199559,9832,15482
J.K. Rowling,4.74,,174236,32159,Fantasy,4100,1197,1998,1998,October 1st 2007,Arthur A. Levine Books,7343,Harry Potter Boxset,216297,6735,1362
Jodi Picoult,4,,87133,88289,Fiction,512,3672,1998,1998,August 29th 2006,Avon,51892,The Pact,243064,9489,12078
Neil Gaiman,4.08,"Locus Award Nominee for Best Fantasy Novel (1999),Geffen Award (2000),Mythopoeic Fantasy Award for Adult Literature (1999),ALA Alex Award (2000)",108421,115564,Fantasy,248,3099,1998,1998,August 29th 2006,Harper Perennial,55312,Stardust,293078,14798,10682
S.A.R.K.,4.12,,4287,2979,Self Help,144,167,1997,1997,May 2nd 1997,Touchstone,1716,Succulent Wild Woman,9589,279,440
Jeff Smith,4.33,,6500,3709,Sequential Art,168,83,1997,1997,August 1st 2006,Graphix,1630,"Bone, Vol. 4: The Dragonslayer",12211,452,289
Ji-li Jiang,3.7,,2139,3898,Nonfiction,285,334,1997,1997,1999,HarperTrophy,2709,Red Scarf Girl,9785,1364,705
Jerry Spinelli,3.63,,2965,4042,Young Adult,240,514,1997,1997,June 1st 2004,HarperTrophy,3481,Wringer,12257,912,1255
Jim Cymbala,4.25,,6575,3888,Christian,188,127,1997,1997,March 29th 1997,Zondervan Publishing Company,1996,"Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Heart of His People",13028,301,442
Garth Nix,3.9,,3452,3887,Young Adult,345,147,1997,1997,September 18th 1998,HarperTeen,2718,Shade's Children,10891,523,687
Deborah Madison,4.07,,4613,2990,Food and Drink,752,416,1997,1997,November 6th 2007,Broadway,1618,Vegetarian Cooking for Everyone,10143,297,506
Anatoli Boukreev,3.9,,3162,4499,Nonfiction,297,135,1997,1997,July 15th 1998,St. Martin's Paperbacks,2846,The Climb: Tragic Ambitions on Everest,11145,535,503
Emma Donoghue,3.89,,1841,1941,Short Stories,228,123,1997,1997,February 27th 1999,HarperTeen,1259,Kissing the Witch: Old Tales in New Skins,5578,544,414
Henning Mankell,3.95,,3618,5992,Mystery,534,108,1997,1997,2004,Vintage,2940,Firewall,13147,618,489
Timothy Zahn,4.07,,4881,5366,Media Tie In,520,63,1997,1997,September 1st 1998,Bantam Spectra,2940,Vision of the Future,13679,221,429
Jan Karon,4.29,,6698,5502,Fiction,464,28,1997,1997,July 26th 2005,Penguin Books,2105,Out to Canaan,14514,409,181
Peter F. Hamilton,4.25,,6868,5650,Science Fiction,1273,102,1997,1997,October 9th 1998,Pan Books,1993,The Neutronium Alchemist,15002,307,389
Tess Gerritsen,3.99,,3969,4755,Mystery,400,79,1997,1997,August 1st 1998,Pocket Books,2898,Life Support,12179,457,478
Jacqueline Wilson,3.54,,3123,3478,Young Adult,160,539,1997,1997,September 4th 2003,Corgi Childrens,4412,Girls in Love,13118,239,1566
Nora Roberts,4.08,,5262,4354,Romance,377,75,1997,1997,June 1st 2002,Silhouette Books,2924,The MacGregor Brides,13145,289,530
Henning Mankell,4.09,,4589,6540,Mystery,450,102,1997,1997,April 3rd 2003,Vintage,2460,One Step Behind,13998,653,307
Dossie Easton,3.84,,2532,3229,Relationships,279,193,1997,1997,July 23rd 2004,Greenery Press,2052,The Ethical Slut: A Guide to Infinite Sexual Possibilities,8638,851,632
John Marsden,4.18,,5468,5396,Young Adult,261,46,1997,1997,December 1st 2006,Scholastic Paperbacks,2263,Burning For Revenge,13465,291,292
Chitra Banerjee Divakaruni,3.48,,2074,3507,Fiction,338,463,1997,1997,February 17th 1998,Anchor,3674,The Mistress of Spices,11093,860,1375
David Deida,4.12,,4196,2816,Self Help,202,253,1997,1997,October 1st 2004,Sounds True,1427,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",9143,634,451
Eric Carle,4.18,,8560,4653,Childrens,32,236,1997,1997,May 29th 2007,HarperFestival,3221,From Head to Toe,17388,464,718
Richard   Preston,4,,4203,4708,Fiction,404,163,1997,1997,October 27th 1997,Random House (NY),2615,The Cobra Event,12217,525,528
Arthur Nersesian,3.57,,2208,3034,Fiction,304,410,1997,1997,May 1st 1999,MTV Books,3002,The Fuck-Up,9748,403,1094
Robert McKee,4.24,,4353,3107,Language,466,123,1997,1997,November 25th 1997,It Books,1228,"Story: Substance, Structure, Style, and the Principles of Screenwriting",9106,827,295
Michael Shermer,3.86,,2479,3224,Science,384,190,1997,1997,September 1st 2002,Holt Paperbacks,2104,"Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time",8482,416,485
Bernard Cornwell,4.39,,8682,5518,Historical,448,36,1997,1997,July 16th 1999,St. Martin's Griffin,1865,Excalibur,16297,494,196
Nora Roberts,3.87,,4835,5712,Romance,506,179,1997,1997,May 1st 1998,Berkley Books,4524,Sanctuary,16147,436,897
Ryū Murakami,3.61,,2435,4821,Fiction,224,342,1997,1997,March 28th 2006,Penguin,3912,In the Miso Soup,12732,1063,1222
Beverly Daniel Tatum,4.14,,3443,3263,Nonfiction,320,104,1997,1997,January 17th 2003,Basic Books,1383,"""Why Are All The Black Kids Sitting Together in the Cafeteria?"": A Psychologist Explains the Development of Racial Identity",8492,603,299
Alain de Botton,3.77,,2578,4332,Philosophy,208,200,1997,1997,April 28th 1998,Vintage,3081,How Proust Can Change Your Life,10893,977,702
Susanna Kearsley,3.92,,4266,6370,Historical,432,122,1997,1997,March 1st 1999,Jove,3724,The Shadowy Horses,15173,1597,691
Claire Tomalin,3.99,,2589,2708,Biography,341,186,1997,1997,April 27th 1999,Vintage,1516,Jane Austen: A Life,7305,320,306
José Saramago,3.88,,3933,5409,Fiction,245,214,1997,1997,October 5th 2001,Mariner Books,3302,All the Names,13654,988,796
Anne Rice,3.27,,3115,3887,Fiction,289,1479,1997,1997,January 1st 2002,Distribooks,5349,Violin,16565,519,2735
Thomas Pynchon,4.05,,3390,2555,Fiction,773,230,1997,1997,January 3rd 2004,Picador USA,1360,Mason & Dixon,8008,646,473
Haruki Murakami,3.89,,3103,4778,Nonfiction,309,84,1997,1997,2003,Vintage,2989,Underground: The Tokyo Gas Attack and the Japanese Psyche,11513,864,559
Lama Surya Das,4.19,,5060,3944,Religion,432,129,1997,1997,June 15th 1998,Harmony,1887,Awakening the Buddha Within: Eight Steps to Enlightenment,11348,307,328
Harlan Coben,3.97,,5039,8414,Mystery,358,78,1997,1997,July 7th 1997,Dell,4343,Back Spin,18381,787,507
Carl Sagan,4.27,,6163,4178,Science,296,122,1997,1997,May 12th 1998,Ballantine Books,1783,Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,12577,401,331
Chris Kraus,3.63,,2110,2288,Fiction,277,482,1997,1997,July 14th 2006,Semiotext(e),1688,I Love Dick,7438,793,870
Andrzej Sapkowski,4.33,,10287,7109,Fantasy,428,84,1997,1997,2001,superNOWA,2434,Wieża Jaskółki,20342,541,428
Pearl Cleage,3.71,,4544,6662,Fiction,244,361,1997,1997,November 1st 1998,Harper Perennial,5877,What Looks Like Crazy on an Ordinary Day,19039,644,1595
Mourid Barghouti,4.15,,4826,4189,Novels,263,162,1997,1997,2003,المركز الثقافي العربي,1826,رأيت رام الله,11390,2136,387
Katharine Graham,4.13,,6928,5909,Nonfiction,642,289,1997,1997,February 24th 1998,Vintage,2670,Personal History,16416,916,620
Chitra Banerjee Divakaruni,3.98,,4890,6845,Fiction,322,161,1997,1997,2000,Anchor,3529,Sister of My Heart,16055,1321,630
Jane Green,3.64,,4329,6415,Womens Fiction,320,558,1997,1997,September 23rd 2003,Broadway Books,6397,Straight Talking,19328,358,1629
Iain Pears,3.93,,6831,6866,Historical,691,537,1997,1997,April 1st 2000,Riverhead Books,4037,An Instance of the Fingerpost,19517,1144,1246
Anita Shreve,3.63,,4444,8965,Fiction,246,466,1997,1997,January 7th 1998,Back Bay Books,7654,The Weight of Water,23572,1545,2043
Jon Lee Anderson,4.11,,6128,5391,Biography,814,305,1997,1997,March 9th 1997,Grove Press (NYC),2605,Che Guevara: A Revolutionary Life,14923,567,494
Edward Bloor,3.61,,6454,8308,Young Adult,320,1556,1997,1997,September 1st 2006,HMH Books for Young Readers,6478,Tangerine,25399,2437,2603
Tracy Chevalier,3.66,,5417,9461,Historical,320,471,1997,1997,June 24th 2003,Penguin Books,8159,The Virgin Blue,25866,1642,2358
Toni Morrison,3.78,,5721,6956,Fiction,318,706,1997,1997,April 1st 1999,Plume (Penguin Books Ltd),5081,Paradise,19923,827,1459
Stephen Fry,3.98,,5951,7573,Nonfiction,366,407,1997,1997,July 1st 2003,Soho Press,3506,Moab Is My Washpot,18212,852,775
Adeline Yen Mah,3.88,,6221,8801,Nonfiction,278,322,1997,1997,April 6th 1999,Broadway Books,5560,Falling Leaves: The Memoir of an Unwanted Chinese Daughter,22066,1693,1162
Svetlana Alexievich,4.43,"National Book Critics Circle Award for General Nonfiction (2005),Leipzig Book Award for European Understanding (1998)",7490,4310,Nonfiction,236,48,1997,1997,April 18th 2006,Picador,1250,Voices from Chernobyl: The Oral History of a Nuclear Disaster,13304,2122,206
Margaret George,4.18,,7561,5603,Historical,1139,250,1997,1997,January 10th 1998,MacMillan General Books,2670,The Memoirs of Cleopatra,16692,1092,608
Ron Chernow,4.19,,4987,4053,Biography,832,201,1997,1997,March 30th 2004,Vintage,1549,"Titan: The Life of John D. Rockefeller, Sr.",11143,629,353
Natsuo Kirino,3.93,"Naoki Prize 直木三十五賞 Nominee (1997),Edgar Award Nominee for Best Novel (2004),日本推理作家協会賞 for Best Novel (1998),このミステリーがすごい！ for Best Japanese Mystery Novel of the Year (1998)",5570,7582,Thriller,400,317,1997,1997,January 4th 2005,Vintage,3902,Out,18381,2065,1010
Johnny Cash,4.08,,6419,6077,Biography,310,252,1997,1997,October 7th 2003,HarperOne,3160,Cash,16518,615,610
أحلام مستغانمي,3.82,,5970,5228,,375,675,1997,1997,2010,دار الآداب,4054,فوضى الحواس,17397,1285,1470
J.D. Robb,4.34,,15106,11005,Mystery,343,69,1997,1997,2004,Piatkus,3891,Vengeance in Death,30396,957,325
Tim LaHaye,3.95,,11331,10085,Christian Fiction,530,765,1997,1997,December 3rd 2005,Thorndike Press,6807,Nicolae,30832,648,1844
Douglas Preston,4.01,,10791,13153,Thriller,464,201,1997,1997,August 1st 2005,Tor Books,7432,Reliquary,32794,1164,1217
Tim Burton,4.13,,11950,9363,Poetry,115,350,1997,1997,October 22nd 1997,Rob Weisbach Books,5004,The Melancholy Death of Oyster Boy and Other Stories,27844,1738,1177
Dav Pilkey,3.88,,11445,7048,Childrens,125,1367,1997,1997,2000,Scholastic Children's Books,6177,The Adventures of Captain Underpants,28275,1949,2238
Kurt Vonnegut,3.71,,6675,11229,Humor,276,503,1997,1997,,RosettaBooks,8812,Timequake,29649,1328,2430
Simms Taback,4.21,,23303,10448,Childrens,32,765,1997,1997,September 1st 1997,Viking Books for Young Readers,7788,There Was an Old Lady Who Swallowed a Fly,44312,828,2008
Dan Simmons,4.16,,15855,12170,Science Fiction,709,430,1997,1997,July 1st 1998,Spectra,5731,The Rise of Endymion,35667,1161,1481
Paulo Coelho,3.69,,7716,6917,Spirituality,142,1249,1997,1997,March 30th 2004,HarperOne,6273,Warrior of the Light,24830,1209,2675
Iris Chang,4.09,,7042,7890,History,290,207,1997,1997,November 1st 1998,Penguin Books,3281,The Rape of Nanking,19103,1474,683
Gavin de Becker,4.2,,9521,7325,Nonfiction,352,209,1997,1997,Jul-00,Bloomsbury Publishing PLC,3415,The Gift of Fear: Survival Signals That Protect Us from Violence,21116,2461,646
Tamora Pierce,4,,12222,11699,Fantasy,252,395,1997,1997,June 24th 2006,Scholastic,7789,Sandry's Book,33737,899,1632
Don DeLillo,3.92,,8635,7818,Fiction,827,876,1997,1997,1999,Picador,4477,Underworld,23567,1670,1761
Alice Hoffman,3.68,,8898,15385,Fiction,336,900,1997,1997,July 1st 1999,Berkley,13057,Here on Earth,41406,1456,3166
Max Lucado,4.45,,28686,9968,Childrens,32,594,1997,1997,September 1st 2004,Candle Books,4489,"You Are Special (Wemmicksville, #1)",44816,1115,1079
Steven Pinker,3.97,,5576,5646,Science,660,437,1997,1997,January 17th 1999,W. W. Norton  Company,3093,How the Mind Works,15583,456,831
Philip Yancey,4.17,,15238,10374,Christian,304,825,1997,1997,February 17th 2002,Zondervan,4788,What's So Amazing About Grace?,32381,898,1156
Marian Keyes,3.93,,17907,19718,Womens Fiction,578,1004,1997,1997,January 23rd 2007,William Morrow Paperbacks,12926,Rachel's Holiday,54319,1340,2764
Dave Pelzer,4.08,,20987,17914,Nonfiction,331,532,1997,1997,August 1st 1997,Hci,10718,The Lost Boy,52292,2616,2141
Clayton M. Christensen,3.98,,11058,9699,Business,286,1149,1997,1997,January 7th 2003,Harper Paperbacks,5058,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,28583,781,1619
Anne Fadiman,4.15,,22936,20170,Nonfiction,341,707,1997,1997,September 30th 1998,Noonday Press,8708,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",54539,4058,2018
Jo Nesbø,3.55,,10933,20398,Mystery,339,1880,1997,1997,July 2nd 2005,Aschehoug,19903,Flaggermusmannen,58932,4670,5818
Philip Roth,3.91,,16301,17857,Fiction,432,1369,1997,1997,March 5th 1998,Vintage,9652,American Pastoral,48591,3492,3412
Jean-Dominique Bauby,4.01,,17055,18682,Nonfiction,132,620,1997,1997,June 23rd 1998,Vintage,10095,The Diving Bell and the Butterfly,48712,3934,2260
Janet Evanovich,4.14,,47491,48644,Mystery,321,364,1997,1997,July 15th 1998,St. Martin's Press,24092,Three to Get Deadly,122943,3037,2352
Kathy Reichs,3.86,,33910,42179,Mystery,532,2781,1997,1997,Jun-98,Pocket Books,28342,Déjà Dead,113597,3266,6385
Jeffery Deaver,4.18,,55594,50170,Mystery,528,1216,1997,1997,April 1st 1998,Signet Book,21267,The Bone Collector,131463,1931,3216
Phaidon Press,3.81,,44782,31434,Art,515,8232,1997,1997,April 17th 1997,Phaidon Press,24347,The Art Book,117646,207,8851
Miguel Ruiz,4.13,,58398,37788,Nonfiction,168,2753,1997,1997,September 14th 2001,Amber-Allen Publishing,20990,The Four Agreements: A Practical Guide to Personal Freedom,126344,7004,6415
Eckhart Tolle,4.12,,61615,38148,Nonfiction,229,4020,1997,1997,August 19th 2004,New World Library,20332,The Power of Now: A Guide to Spiritual Enlightenment,131052,6100,6937
Jared Diamond,4.01,,73560,73802,History,425,4696,1997,1997,2005,W.W. Norton & Company,37552,"Guns, Germs, and Steel: The Fates of Human Societies",200009,8500,10399
Bill Bryson,4.05,,103811,112614,Nonfiction,397,3992,1997,1997,December 26th 2006,Anchor Books,54355,A Walk in the Woods,286023,15229,11251
Jon Krakauer,4.12,"Pulitzer Prize Nominee for General Nonfiction (1998),ALA Alex Award (1998),National Book Critics Circle Award Nominee for General Nonfiction (1997),Boardman Tasker Prize Nominee for Mountain Literature (1997)",131620,117492,Nonfiction,368,8097,1997,1997,October 19th 1999,Anchor Books,47246,Into Thin Air: A Personal Account of the Mount Everest Disaster,314930,11120,10475
Gail Carson Levine,3.97,,134252,114989,Fantasy,232,6903,1997,1997,September 1st 1998,Scholastic Books,82942,Ella Enchanted,359799,8954,20713
Anita Diamant,4.16,,213283,150407,Historical,336,9685,1997,1997,November 1st 2005,St. Martin's Press,69544,The Red Tent,462961,17752,20042
Mitch Albom,4.08,,265249,209827,Nonfiction,210,12554,1997,1997,2000,Warner,114366,Tuesdays with Morrie,634574,20609,32578
Mihaly Csikszentmihalyi,4.07,,1519,1421,Psychology,372,59,1996,1996,May 9th 1997,Harper Perennial,730,Creativity: Flow and the Psychology of Discovery and Invention,3892,180,163
Sara Douglass,3.99,,3821,3950,Fantasy,669,166,1996,1996,April 15th 2002,Tor Fantasy,2412,Enchanter,10886,134,537
Connie Willis,3.93,,2706,3814,Science Fiction,248,105,1996,1996,June 2nd 1997,Spectra,2187,Bellwether,9258,1130,446
Nora Roberts,4.19,,4219,3223,Romance,443,42,1996,1996,June 1st 2004,Silhouette Books,1762,The MacKade Brothers: Devin and Shane,9494,174,248
James Redfield,3.62,,2499,2987,Spirituality,256,364,1996,1996,December 1st 1998,Grand Central Publishing,2948,The Tenth Insight: Holding the Vision,9890,364,1092
Christopher Brookmyre,3.91,,1803,2651,Mystery,312,106,1996,1996,July 3rd 1997,Abacus,1393,Quite Ugly One Morning,6280,325,327
Gabriel García Márquez,3.83,,2073,3280,Nonfiction,291,111,1996,1996,July 30th 1998,Penguin,2141,News of a Kidnapping,8103,460,498
Julia Child,4.28,,4423,2267,Food and Drink,512,161,1996,1996,November 4th 1996,William Morrow Cookbooks,1118,"Baking with Julia: Sift, Knead, Flute, Flour, and Savor...",8241,77,272
Poppy Z. Brite,3.8,,2715,2543,Horror,240,344,1996,1996,August 20th 1997,Touchstone,1915,Exquisite Corpse,8220,595,703
Richard Dawkins,4.07,,2839,2646,Science,308,132,1996,1996,April 6th 2006,Penguin,1320,Climbing Mount Improbable,7230,142,293
Philip Carlo,3.96,,2814,2854,Nonfiction,592,104,1996,1996,May 1st 2006,Pinnacle,2062,The Night Stalker,8222,246,388
Julia Quinn,3.85,,3225,4039,Romance,391,164,1996,1996,July 27th 2004,Avon,3071,Minx,11149,440,650
Virginia Gaffney,4.06,,2618,2028,Historical,570,176,1996,1996,April 12th 2010,A Voice In The World Publishing,1051,Storm Clouds Rolling In,6204,440,331
A.M. Homes,3.61,,1415,2073,Fiction,272,350,1996,1996,February 18th 1997,Scribner,1478,The End of Alice,5917,724,601
Phaidon Press,3.95,,4228,3088,Art,512,346,1996,1996,May 1st 2007,Phaidon Press,2487,The 20th Century Art Book,10797,24,648
Anne McCaffrey,4,,3916,4053,Fantasy,353,47,1996,1996,February 26th 2002,Random House Value Publishing,2911,Dragonseye,11375,167,448
Graham Swift,3.68,,2349,4179,Fiction,352,285,1996,1996,December 7th 2001,Picador,3188,Last Orders,10902,405,901
Orson Scott Card,3.96,,4450,4728,Science Fiction,402,242,1996,1996,March 1st 2016,Tor Books,2762,Pastwatch: The Redemption of Christopher Columbus,12895,895,713
Peter L. Bernstein,3.95,,3212,3223,Economics,383,180,1996,1996,September 14th 1998,Wiley,1995,Against the Gods: The Remarkable Story of Risk,9159,336,549
Erlend Loe,3.88,,3822,4826,Fiction,208,266,1996,1996,July 7th 2005,Canongate UK,2855,Naïve. Super,12592,570,823
Laurie R. King,3.99,,4290,6666,Mystery,339,42,1996,1996,2001,HarperCollins,3518,A Letter of Mary,14901,913,385
Douglas Preston,3.92,,4309,5659,Thriller,512,96,1996,1996,August 1st 2005,Tor Books,3906,Mount Dragon,14644,359,674
Tami Hoag,4.11,,5721,5830,Mystery,608,95,1996,1996,August 4th 1997,Orion Books,3078,Guilty as Sin,15109,300,385
Bernard Cornwell,4.38,,7234,5110,Historical,397,39,1996,1996,March 15th 1998,St. Martin's Griffin,1455,Enemy of God,13989,496,151
Mario Puzo,3.81,,3256,5392,Fiction,498,138,1996,1996,January 29th 1997,Ballantine Books,3859,The Last Don,13441,388,796
Samuel P. Huntington,3.72,,2142,2724,Politics,368,371,1996,1996,1998,Simon & Schuster,1926,The Clash of Civilizations and the Remaking of World Order,7822,590,659
John Marsden,4.11,,5472,5871,Young Adult,259,68,1996,1996,October 1st 2006,Scholastic Paperbacks,2829,"Darkness, Be My Friend",14623,344,383
Patricia Cornwell,3.29,,2314,3516,Mystery,369,912,1996,1996,February 1st 1998,Berkley Books,5000,Hornet's Nest,13969,365,2227
Jean Hegland,3.79,,2357,3459,Fiction,243,242,1996,1996,September 1st 1998,Dial Press Trade Paperback,2160,Into the Forest,8908,1217,690
Joe Sacco,4.2,American Book Award (1996),5372,4335,Sequential Art,288,178,1996,1996,December 17th 2001,Fantagraphics,1680,Palestine,11964,719,399
L.J. Smith,3.73,,3865,3331,Paranormal,242,572,1996,1996,Jun-96,Archway Paperbacks,3043,Secret Vampire,11976,538,1165
Brian Jacques,3.99,,6214,6434,Fantasy,408,203,1996,1996,May 24th 2004,Firebird,4301,Pearls of Lutra,17880,187,728
Nora Roberts,4.06,,6971,6736,Romance,352,82,1996,1996,August 29th 2006,Jove,4299,Finding the Dream,18698,341,610
Jennifer Crusie,3.8,"All About Romance (AAR) Annual Reader Poll for Favorite Funny & Honorable Mentions for Favorite Romance & Favorite Heroine & Favorite Couple & Favorite Road Romance (1997),HOLT Medallion by Virginia Romance Writers Nominee for Short Contemporary (1997)",4623,6958,Romance,283,226,1996,1996,December 1st 2006,Harlequin Books,5506,Anyone But You,18377,994,1064
George Saunders,4.22,,6228,5674,Short Stories,179,99,1996,1996,February 6th 1997,Vintage,2029,CivilWarLand in Bad Decline,14416,1278,386
Nora Roberts,4.03,,6933,7117,Romance,358,100,1996,1996,August 29th 2006,Jove,4645,Holding the Dream,19536,324,741
Henning Mankell,4.02,,5972,8752,Mystery,438,211,1996,1996,April 13th 2004,Vintage Crime/Black Lizard,3725,The Fifth Woman,19247,756,587
Caroline Knapp,4.04,,5203,5327,Autobiography,286,190,1996,1996,May 12th 1997,Dial Press,2788,Drinking: A Love Story,14125,903,617
Frank Miller,4.22,,10898,8553,Sequential Art,240,271,1996,1996,March 1st 2005,Dark Horse,3567,"Sin City, Vol. 4: That Yellow Bastard",23943,274,654
Kristin Hannah,3.95,OKRWA National Readers Choice Award for Single Title Contemporary (1996),5525,6198,Fiction,448,239,1996,1996,October 30th 1996,Ballantine Books,3905,Home Again,16764,820,897
Iain M. Banks,4.2,,8704,7597,Science Fiction,499,113,1996,1996,February 2nd 1998,Bantam Spectra (NY),3228,Excession,20226,799,584
Neale Donald Walsch,4.11,,9824,5947,Spirituality,263,554,1996,1996,December 3rd 2005,Hampton Roads Publishing Company,3761,"Conversations With God: An Uncommon Dialogue, Book 2",21130,243,1044
